"","Fecha","x","Tipo","diferencia_biderbi","Valor"
"1",2019-04-01,32412182,"Importacion",-21642599,-32412182
"2",2020-04-01,31567827,"Importacion",-20337519,-31567827
"3",2019-08-01,26709077,"Importacion",-14978100,-26709077
"4",2020-08-01,26019673,"Importacion",-14396963,-26019673
"5",2019-12-01,31360294,"Importacion",-19981035,-31360294
"6",2019-02-01,31227801,"Importacion",-19596968,-31227801
"7",2020-02-01,31448401,"Importacion",-19977252,-31448401
"8",2019-01-01,30571169,"Importacion",-19266392,-30571169
"9",2020-01-01,30711714,"Importacion",-19533456,-30711714
"10",2019-07-01,29076293,"Importacion",-16893245,-29076293
"11",2020-07-01,28679331,"Importacion",-15983702,-28679331
"12",2019-06-01,31083186,"Importacion",-19102773,-31083186
"13",2020-06-01,31142127,"Importacion",-19228392,-31142127
"14",2019-03-01,31881331,"Importacion",-20339252,-31881331
"15",2020-03-01,30884774,"Importacion",-19299107,-30884774
"16",2019-05-01,32310502,"Importacion",-19942438,-32310502
"17",2020-05-01,31690072,"Importacion",-19428306,-31690072
"18",2019-11-01,32441033,"Importacion",-20337570,-32441033
"19",2020-11-01,31582875,"Importacion",-20228374,-31582875
"20",2019-10-01,30932137,"Importacion",-18478755,-30932137
"21",2020-10-01,31537783,"Importacion",-19834010,-31537783
"22",2019-09-01,27726557,"Importacion",-15695438,-27726557
"23",2020-09-01,28761523,"Importacion",-17190390,-28761523
"24",2019-04-01,10769583,"Exportacion",-21642599,10769583
"25",2020-04-01,11230308,"Exportacion",-20337519,11230308
"26",2019-08-01,11730977,"Exportacion",-14978100,11730977
"27",2020-08-01,11622710,"Exportacion",-14396963,11622710
"28",2019-12-01,11379259,"Exportacion",-19981035,11379259
"29",2019-02-01,11630833,"Exportacion",-19596968,11630833
"30",2020-02-01,11471149,"Exportacion",-19977252,11471149
"31",2019-01-01,11304777,"Exportacion",-19266392,11304777
"32",2020-01-01,11178258,"Exportacion",-19533456,11178258
"33",2019-07-01,12183048,"Exportacion",-16893245,12183048
"34",2020-07-01,12695629,"Exportacion",-15983702,12695629
"35",2019-06-01,11980413,"Exportacion",-19102773,11980413
"36",2020-06-01,11913735,"Exportacion",-19228392,11913735
"37",2019-03-01,11542079,"Exportacion",-20339252,11542079
"38",2020-03-01,11585667,"Exportacion",-19299107,11585667
"39",2019-05-01,12368064,"Exportacion",-19942438,12368064
"40",2020-05-01,12261766,"Exportacion",-19428306,12261766
"41",2019-11-01,12103463,"Exportacion",-20337570,12103463
"42",2020-11-01,11354501,"Exportacion",-20228374,11354501
"43",2019-10-01,12453382,"Exportacion",-18478755,12453382
"44",2020-10-01,11703773,"Exportacion",-19834010,11703773
"45",2019-09-01,12031119,"Exportacion",-15695438,12031119
"46",2020-09-01,11571133,"Exportacion",-17190390,11571133
